batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
1,QC1,370475,93728,12970025,1999,98131,150031,6636680,5310,5199,1741281,136588,2477,3466411,28978,169367,112998,15328,11279,170819,2193757,165202,155035,140419,110025,58045,87094,336776
1,QC2,275962,73494,8955258,82236,55105,105188,4599681,2495,4804,1283142,96574,3422,2722094,16932,88426,51799,11787,8836,149877,1624242,66852,122326,111005,58117,30685,76436,221497
1,413502-001,170101,39899,8859735,16634,47890,72522,5358597,4605,3232,996944,76854,1213,2293754,8726,32280,156690,12622,9555,112827,1904269,205884,41274,176319,204281,30399,56177,217637
1,413502-002,220002,58037,12770090,60502,105211,113270,6836123,5504,4669,1692830,104197,1069,3303622,22489,168653,174393,21361,12600,130742,2123065,239235,229187,141009,254764,42862,87039,300227
1,413502-003,328291,98513,11787761,60658,70760,134014,6867304,7622,14235,1315853,76667,1363,3858858,13185,461617,125313,14499,11032,96388,2531716,189095,69447,179781,229639,38090,55398,251588
1,413502-004,324019,91485,12409610,48098,147932,123547,5712210,7328,4501,1255338,118059,936,3016550,28318,108619,140687,14368,11475,195654,1729196,231297,209093,97179,240577,52914,84759,307414
1,413502-005,275826,67946,11490440,42937,89920,124340,6906515,10232,5813,1282618,109482,1312,2478092,21709,62125,125570,16237,12396,201843,2520476,234364,101072,196932,243105,60971,77609,333865
1,413502-006,196983,61387,8982133,48983,73072,105318,4894422,7277,4649,980316,86233,695,1796422,11417,57928,111692,12380,9385,108833,1545550,186526,196020,96264,183814,44244,73955,266193
1,413502-007,249234,65037,9603079,22761,68548,119136,5116907,9837,1529,788174,75252,1539,2797722,13902,246124,116317,11477,10143,102999,1491113,183116,199787,80188,214459,49200,75207,277282
1,413502-008,165992,59109,10913431,49021,79521,116476,5813550,7801,1722,1042989,101218,1020,2309919,13871,235137,116175,32975,8374,115776,2332478,198122,252477,85524,217708,76650,69277,368793
1,413502-009,618175,64571,11559929,44014,131390,109606,5151375,10022,2349,2315286,158173,1173,2995516,7682,144910,187493,39410,7266,65492,1443691,189440,236995,94555,173022,48366,72329,363293
1,413502-010,583111,86263,11677644,43700,93819,132207,6357072,11410,8073,1124737,107324,980,2922197,70833,118735,122679,15500,10766,253536,1869136,185933,242720,109195,166448,36949,80235,321608
1,QC1,416967,106312,15009482,30071,118255,164141,7680420,6506,6882,1745346,130860,1561,3561156,30701,174980,116187,23879,16257,198684,2398829,217269,174155,192245,279352,77025,93011,360074
1,QC2,357050,96285,12428824,85616,75562,129524,6795683,8695,8019,1447918,109019,1538,3213919,22357,107535,89133,18283,13108,188176,1933755,143020,158205,161041,218068,57748,84462,274525
1,413502-011,145194,57740,9027097,35925,59801,114328,5223253,8851,795,869752,83388,862,1781533,14523,138354,104191,15451,11110,125362,1763895,175015,191954,72732,192877,55115,71034,231132
1,413502-012,179734,46613,10383730,15231,99963,89446,5426199,4351,3007,1008672,93887,1039,1766527,28069,125632,109639,13067,11594,161220,2116897,206198,117222,152598,242286,55829,90455,243845
1,413502-013,291217,73179,11087415,22357,109032,121252,6932479,8291,10247,1412618,107937,1078,2272354,14822,107823,131618,24644,12846,139819,1744964,165709,87588,184739,204174,51164,64000,268439
1,413502-014,200112,45199,9404524,26194,101847,88630,4766684,7499,2330,881279,90206,648,1312029,12261,119836,95586,15231,8258,94096,1540460,155878,253700,102273,203332,57289,103618,367707
1,413502-015,164350,63679,10835285,35479,78317,128282,6008315,8063,4522,1148351,107154,1009,2426692,14445,125615,109449,17104,11584,142551,1812555,207576,181678,161290,287599,78517,104637,409036
1,QC1,448517,115787,15873762,32179,127724,177264,8176107,7592,8244,1860848,143033,1921,3765201,35701,207357,139760,26764,18863,238265,2677445,238538,191380,197702,343337,92845,104256,406563
1,QC2,345058,89805,11375924,81398,71140,123513,6046646,4022,6455,1365491,103259,1373,2949395,23685,112403,97348,20532,13673,198869,1955616,149086,160432,166281,268369,69924,89803,277043
2,QC1,454666,117066,16368673,33149,132930,181588,8499709,8567,8601,1937871,149218,1962,3917035,36704,208693,137817,27429,19022,235577,2768668,244053,196375,200895,359135,95280,110240,427698
2,QC2,320476,85281,10753669,81593,68027,115450,5633605,5288,6737,1315027,98606,1371,2842054,21779,105405,91865,19784,13386,192515,1898579,149365,145802,162789,260188,67905,86523,267895
2,385470-002,78005,26973,6982304,171,35200,50701,3853679,3420,1223,985468,53885,2089,2161079,22507,23529,54497,5947,4685,112237,1491139,90557,29151,149957,70245,11737,40383,133381
2,385470-005,101006,34407,6064029,655,40608,67006,3456781,3052,2093,727780,65060,1982,1557576,10540,40183,43440,5093,4938,71522,1113908,62826,77866,72324,63893,15461,41473,202346
2,385470-006,381346,82823,9405149,1019,72034,101780,4671394,8459,8175,1232286,89189,2577,2240232,14560,71496,67181,6753,6929,139442,1441064,97767,38170,124486,75842,17516,44081,207913
2,385470-007,150608,46856,7797034,506,44429,72057,4125360,4094,3205,1041308,66690,2152,2371575,21911,45006,59098,7109,5146,151065,1443243,96248,27723,123204,83365,20600,40906,143154
2,385470-008,204567,50046,7045120,2263,60704,81956,4152848,2666,1187,878477,74858,2019,1667066,11651,93148,65532,8916,6661,114536,1495056,97206,186385,101099,78100,21960,53485,272137
2,385470-009,163317,61461,6081053,924,94104,90223,3275042,3358,4589,882177,64287,2194,1096251,15470,24145,41989,4128,3251,107906,1647383,62161,25262,154822,70832,17926,36690,134350
2,385470-010,114400,49147,7650684,1501,44132,95720,4288347,2506,2112,1037835,92942,2938,2141039,9824,197236,69046,9550,7173,97693,1480330,87541,135544,87674,79221,26170,69552,315732
2,385470-011,201870,43233,8633051,3433,85106,84208,4025813,3181,687,916167,87353,1955,1399267,14168,111704,58109,10508,5273,70473,1433840,80931,339182,59835,57577,21363,84453,386676
2,385470-012,245045,45215,8710750,1063,95975,69098,4126285,2995,2966,1061732,76016,1992,1747505,28444,39250,49744,10544,7341,132240,1552358,76855,75406,107704,74227,18969,54203,248069
2,385470-013,329041,70800,8484433,3148,61570,95022,4154345,4483,4908,1031724,84578,2906,2400636,21018,80277,55470,7652,6616,119196,1766076,72598,70683,74355,51021,13766,60646,185103
2,385470-014,229143,78956,11341258,53323,96481,149750,5850842,4324,2591,1331263,117189,4596,2909963,11616,287784,96928,9086,7499,115710,2146984,119147,287311,59205,106314,47716,126335,397172
2,385470-015,158910,41387,8614053,1206,47072,81976,4391464,3117,589,890020,71646,3062,1929787,11703,36739,62024,7234,7391,92334,1478337,110303,155871,76443,110990,37669,102627,232405
2,385470-016,249739,71670,9013085,61892,84610,101276,4292045,3109,4125,1236434,85302,2467,2546924,15422,73563,61679,7688,6770,132377,1544854,102413,51479,87547,102642,34254,66766,199742
2,QC1,676124,165755,24689797,4010,181676,232092,12289319,9460,11792,2724420,217843,3392,5915545,40890,253865,190899,25566,18428,256572,3637445,261633,292154,227339,293963,81095,116771,524752
2,QC2,576268,135706,17676720,327,94487,156035,9339772,9803,8986,1953642,153118,2026,4485508,30973,120461,141088,17233,13463,218727,2719773,155675,231001,181777,201345,45097,95786,345301
2,385470-017,182284,45428,6956409,63513,48004,66362,3755126,1688,1821,928537,65406,2189,2202153,12677,60206,52964,7101,7081,111103,1396848,71097,36755,123109,70184,21665,52726,194275
2,385470-018,123746,33016,6901536,83559,47164,64780,3559784,2579,2028,747830,62625,2164,1791686,27450,53394,57170,6141,6458,114348,1458370,90507,44610,113817,84315,25863,53720,163438
