,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
QC1,210345,49173,7792900,41,50986,62027,3711947,1998,2368,856093,60591,1422,1888961,11282,63055,46763,6241,4864,66253,1039811,63825,72446,60462,79590,21995,35449,138091
QC2,194445,52973,6540051,133,35566,53928,3187236,1566,2413,778364,55127,2366,1904915,9276,44353,71782,6051,4646,75291,993463,83860,73922,60959,98593,18393,34210,115427
WB-MHT1121,271700,50085,7709260,2097,77838,50431,3669241,11782,6225,833211,47676,5215,1665107,27126,65878,196659,4613,4053,103531,1383967,176646,38616,105939,122466,5057,36757,52802
WB-MHT1122,130750,31645,5260420,1041,26767,42512,2682309,8347,4207,626487,42488,6093,2128791,6142,31439,139984,5233,6847,72647,565193,140580,15025,43921,104761,5370,18903,61207
WB-MHT1123,354936,71050,6662650,1842,46885,68294,3271207,10036,10355,803076,51029,4602,1827696,10454,48864,141682,4971,4116,85858,932520,130736,56306,44307,100271,8893,34712,108956
WB-MHT1124,281508,54990,8548811,2273,70561,76259,4106921,14265,12052,1203744,61185,4923,1690127,29861,39506,98957,7011,3987,117418,1667669,100194,26465,144649,106677,12500,48507,69115
WB-MHT1125,251412,46727,6125661,1376,36355,52489,2930976,12594,6044,957448,44398,3743,1192558,21599,25935,99371,8130,3262,93374,1160826,105275,20345,76080,96712,9706,34694,43661
WB-MHT1126,211256,37960,6021111,1481,68038,43194,3033313,13307,4561,640006,41260,4245,1441398,34518,45968,169195,4015,3220,106263,1234457,163132,34823,61239,118581,12010,30680,58857
WB-MHT1127,245206,52765,5998958,1864,49818,65451,3109767,9444,9840,937818,49653,2809,1143524,9134,63022,160315,7007,3224,86059,777122,150773,77387,47604,120266,10499,49712,111749
WB-MHT1128,263477,49929,6270243,2464,65090,52260,2960934,21024,5991,1135127,57546,4560,1658313,23526,107487,133544,8495,4415,142030,875512,125774,18970,89266,107423,11589,25102,46855
WB-MHT1129,162679,62637,8630108,2108,63060,67490,3705157,13997,5640,998462,71330,6786,2232114,27508,42628,103211,5824,5014,152995,1542885,104560,35278,85118,88923,12621,32096,114930
WB-MHT1130,230596,44080,4626339,1218,39189,40590,2399851,8085,6130,482325,32116,4221,1177990,11197,51238,128892,3844,2967,106662,831785,120901,21682,60845,93364,7308,31223,52918
QC1,220095,52241,7988151,29,53886,66418,3858680,2451,2739,897518,63408,1747,1983279,13033,72187,50695,6906,5383,75252,1119050,68339,85636,66453,85380,26058,39450,162272
QC2,208446,57339,6806696,391,35679,57937,3339526,5704,4282,800621,56887,7216,1913305,10468,46213,38952,6732,5181,83667,1007934,40994,83991,63302,60665,14758,56973,127584
