C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
0.008057473,0.001889988,0.419675395,0.002268493,0.003435283,0.253830552,0.047224075,0.003640492,0.108652474,0.000413359,0.00152908,0.007422243,0.000597896,0.000452596,0.005344496,0.090203025,0.009752508,0.001955102,0.00835205,0.009676576,0.001439945,0.002661032,0.010309203
0.007528437,0.001986007,0.436991363,0.003600305,0.003876093,0.233931526,0.05792851,0.003565596,0.113049669,0.000769579,0.005771291,0.005967707,0.000730985,0.000431164,0.004473974,0.072651089,0.008186617,0.007842775,0.004825322,0.008718001,0.001466731,0.002978476,0.010273729
0.011364012,0.003410073,0.40804074,0.002449387,0.004638968,0.237716035,0.04554906,0.002653886,0.133576772,0.000456395,0.01597917,0.004337788,0.000501888,0.000381893,0.003336529,0.087636949,0.006545625,0.002403937,0.006223246,0.007949106,0.001318499,0.001917653,0.008708891
0.012130481,0.003424966,0.464585114,0.005538218,0.004625312,0.213851037,0.046996762,0.004419835,0.11293218,0.001060161,0.004066416,0.005266979,0.000537913,0.000429609,0.007324785,0.064736836,0.008659179,0.007827937,0.003638145,0.009006611,0.001980968,0.003173172,0.011508815
0.010180438,0.00250781,0.424099347,0.003318844,0.004589234,0.254911772,0.047340014,0.004040852,0.091463619,0.000801268,0.002292969,0.00463465,0.000599279,0.000457529,0.007449802,0.093027953,0.008650112,0.003730453,0.007268551,0.008972745,0.00225037,0.002864448,0.012322589
0.009779675,0.003047687,0.445938407,0.003627807,0.00522873,0.242994713,0.048670006,0.004281257,0.089187475,0.000566844,0.002875991,0.005545216,0.000614617,0.000465915,0.00540327,0.076732344,0.009260518,0.009731853,0.004779258,0.009125878,0.002196579,0.003671681,0.013215771
0.011333923,0.002957569,0.436700775,0.003117211,0.005417705,0.232691741,0.035842264,0.003422083,0.12722661,0.000632196,0.011192519,0.00528954,0.000521906,0.000461232,0.004683877,0.067808468,0.008327209,0.009085348,0.003646535,0.009752545,0.002237377,0.003420045,0.012609416
0.006697244,0.002384856,0.440322136,0.003208439,0.004699441,0.234558216,0.042081278,0.004083809,0.093197889,0.000559671,0.009487036,0.004687299,0.001330432,0.000337856,0.004671189,0.094108039,0.007993599,0.010186633,0.003450623,0.00878381,0.003092586,0.002795096,0.014879632
0.023562508,0.002461219,0.44062124,0.005008103,0.004177776,0.196351143,0.088250052,0.006028948,0.114177868,0.000292809,0.005523446,0.00714654,0.001502174,0.000276967,0.002496309,0.055028082,0.007220732,0.009033367,0.003604075,0.00659496,0.001843522,0.00275693,0.013847356
0.021796246,0.003224456,0.436501597,0.003506894,0.004941797,0.237622599,0.042041825,0.004011695,0.109229535,0.002647693,0.004438218,0.004585653,0.000579365,0.000402423,0.009476982,0.069866917,0.006950046,0.009072683,0.004081629,0.00622171,0.001381116,0.002999127,0.01202147
